Event_ID,Species,# Observed,Age,Composition,Breeding Status,Notes
20070506163624-273176729.679108,AGWT,2.52E+02,,Even sex ratio,O ,
20070506163624-273176729.679108,AMWI,5.80E+01,,Even sex ratio,O ,
20070506163624-273176729.679108,BAEA,1.00E+01,,,O ,
20070506163624-273176729.679108,BOGU,7.00E+01,,,O ,
20070506163624-273176729.679108,BWTE,4.00E+00,,,O ,
20070506163624-273176729.679108,CAGO,7.00E+00,,,O ,
20070506163624-273176729.679108,GBHE,3.00E+00,,,O ,
20070506163624-273176729.679108,HUGO,5.60E+01,,,O ,
20070506163624-273176729.679108,MALL,7.81E+02,,60% male,O ,
20070506163624-273176729.679108,MEGU,7.50E+01,,,O ,
20070506163624-273176729.679108,NOCR,2.00E+00,,,O ,
20070506163624-273176729.679108,NOPI,1.05E+02,,Even sex ratio,O ,
20070506163624-273176729.679108,NSHO,1.80E+01,,Even sex ratio,O ,
20070506163624-273176729.679108,UNGU,2.00E+01,,,O ,
20070506175816-378902554.512024,AGWT,4.00E+00,,,O,
20070506175816-378902554.512024,AMWI,7.00E+00,,,O,
20070506175816-378902554.512024,BAEA,2.00E+00,,,ON,
20070506175816-378902554.512024,BAGO,1.20E+01,,,O,
20070506175816-378902554.512024,BOGU,2.00E+00,,,O,
20070506175816-378902554.512024,BUFF,5.90E+01,,,O,
20070506175816-378902554.512024,COME,3.00E+00,,,O,
20070506175816-378902554.512024,GBHE,1.00E+00,,,O,
20070506175816-378902554.512024,GRYE,4.00E+00,,,O,
20070506175816-378902554.512024,GWGU,1.00E+00,,,O,
20070506175816-378902554.512024,HERG,5.00E+00,,,O,
20070506175816-378902554.512024,LEYE,5.60E+01,,,O,
20070506175816-378902554.512024,MALL,4.60E+01,,,O,
20070506175816-378902554.512024,MEGU,3.40E+01,,,O,
20070506175816-378902554.512024,RNDU,1.30E+01,,,O,
20070506175816-378902554.512024,TRES,2.50E+01,,,O,
20070506175816-378902554.512024,VGSW,1.00E+01,,,O,
20070506163624-249973237.514496,ARTE,3.00E+00,,,O,
20070506163624-249973237.514496,GRSC,6.00E+00,,,O,Survey type
20070506163624-249973237.514496,SUSC,6.42E+02,,,O,
20070506163624-249973237.514496,UNGU,3.80E+01,,,O,structured
20070506163624-524598896.503448,AGWT,1.19E+02,,,O,opportunistic
20070506163624-524598896.503448,AMWI,3.40E+01,,,O,
20070506163624-524598896.503448,ARTE,2.00E+00,,,O,
20070506163624-524598896.503448,BAGO,1.50E+01,,,O,
20070506163624-524598896.503448,BEKI,1.00E+00,,,O,
20070506163624-524598896.503448,BOGU,5.00E+00,,,O,
20070506163624-524598896.503448,BUFF,1.00E+00,,,O,
20070506163624-524598896.503448,BWTE,2.00E+00,,,O,
20070506163624-524598896.503448,EUWI,4.00E+00,,,O,
20070506163624-524598896.503448,GRSC,4.20E+01,,,O,
20070506163624-524598896.503448,HARD,2.00E+00,,,O,
20070506163624-524598896.503448,LTDU,3.00E+00,,,O,
20070506163624-524598896.503448,MALL,1.50E+01,,,O,
20070506163624-524598896.503448,MAMU,2.10E+01,,,O,
20070506163624-524598896.503448,MEGU,2.00E+00,,,O,
20070506163624-524598896.503448,NOCR,1.00E+00,,,O,
20070506163624-524598896.503448,NSHO,2.50E+01,,,O,
20070506163624-524598896.503448,PIGU,1.00E+00,,,O,
20070506163624-524598896.503448,SUSC,1.87E+03,,,O,
20070506163624-524598896.503448,WWSC,2.00E+00,,,O,
20070506163624-45578062.5343323,AMWI,2.00E+00,,,O,
20070506163624-45578062.5343323,BOGU,6.00E+01,,,O,
20070506163624-45578062.5343323,GRSC,5.00E+00,,,O,
20070506163624-45578062.5343323,HARD,4.00E+00,,,O,
20070506163624-45578062.5343323,HOGR,3.40E+01,,,O,
20070506163624-315855920.314789,AGWT,1.93E+02,,,O,
20070506163624-315855920.314789,BOGU,2.00E+00,,,O,
20070506163624-315855920.314789,BUFF,2.90E+01,,,O,
20070506163624-315855920.314789,GRSC,8.00E+00,,,O,
20070506163624-315855920.314789,HARD,9.00E+00,,,O,
20070506163624-315855920.314789,HOGR,1.00E+00,,,O,
20070506163624-315855920.314789,MAMU,2.00E+00,,,O,
20070506163624-315855920.314789,PIGU,1.00E+00,,,O,
20070506163624-315855920.314789,RNDU,3.00E+00,,,O,
20070506163624-192951381.206512,BAGO,2.00E+00,,,O,
20070506163624-192951381.206512,BUFF,4.00E+00,,,O,
20070506163624-192951381.206512,COGO,1.00E+01,,,O,
20070506163624-192951381.206512,GRSC,1.11E+02,,,O,
20070506163624-192951381.206512,LTDU,7.00E+00,,,O,
20070506163624-192951381.206512,MAMU,5.00E+00,,,O,
20070506163624-192951381.206512,NSHO,3.00E+00,,,O,
20070506163624-192951381.206512,RNDU,1.00E+01,,,O,
20070506163624-192951381.206512,RNGR,1.20E+01,,,O,
20070506163624-192951381.206512,SUSC,1.70E+02,,,O,
20070506163624-192951381.206512,WWSC,1.30E+01,,,O,
20070506163624-184855759.143829,BAGO,7.00E+00,,,O,
20070506163624-184855759.143829,BUFF,2.00E+01,,,O,
20070506163624-184855759.143829,COGO,5.00E+00,,,O,
20070506163624-184855759.143829,CORA,1.00E+00,,,O,
20070506163624-184855759.143829,GRSC,2.20E+01,,,O,
20070506163624-184855759.143829,HOGR,2.92E+02,,,O,
20070506163624-184855759.143829,RBME,5.20E+01,,,O,
20070506163624-184855759.143829,RNDU,2.00E+00,,,O,
20070506163624-184855759.143829,RNGR,6.60E+01,,,O,
20070506163624-184855759.143829,SUSC,1.00E+01,,,O,
20070506163624-998484313.488007,AGWT,6.00E+00,,,O,
20070506163624-998484313.488007,AMWI,6.80E+01,,,O,
20070506163624-998484313.488007,BAEA,2.00E+00,,,O,
20070506163624-998484313.488007,BAGO,8.00E+00,,,O,
20070506163624-998484313.488007,BAGO,1.20E+01,,,O,
20070506163624-998484313.488007,BOGU,1.41E+02,,,O,
20070506163624-998484313.488007,BUFF,9.00E+00,,,O,
20070506163624-998484313.488007,GWFG,9.40E+01,,,O,
20070506163624-998484313.488007,HOGR,1.70E+01,,,O,
20070506163624-998484313.488007,LESA,3.80E+01,,,O,
20070506163624-998484313.488007,LEYE,5.00E+00,,,O,
20070506163624-998484313.488007,MALL,1.54E+02,,,O,
20070506163624-998484313.488007,MEGU,2.17E+02,,,O,
20070506163624-998484313.488007,NSHO,1.70E+01,,,O,
20070506163624-998484313.488007,RNGR,1.40E+01,,,O,
20070506163624-998484313.488007,SEPL,7.00E+00,,,O,
20070506163624-998484313.488007,TRES,1.00E+00,,,O,
20070506175816-919377088.546753,AGWT,3.00E+01,,,O,
20070506175816-919377088.546753,AMWI,6.00E+00,,,O,
20070506175816-919377088.546753,BAEA,1.00E+00,,,O,
20070506175816-919377088.546753,BUFF,6.50E+01,,,O,
20070506175816-919377088.546753,CANV,5.00E+00,,,O,
20070506175816-919377088.546753,COGO,5.00E+00,,,O,
20070506175816-919377088.546753,COME,1.60E+01,,,O,
20070506175816-919377088.546753,CORA,1.00E+00,,,O,
20070506175816-919377088.546753,GRSC,2.00E+00,,,O,
20070506175816-919377088.546753,GRYE,1.00E+00,,,O,
20070506175816-919377088.546753,GWFG,1.40E+01,,,O,
20070506175816-919377088.546753,GWGU,5.00E+00,,,O,
20070506175816-919377088.546753,HERG,3.00E+00,,,O,
20070506175816-919377088.546753,LEYE,9.00E+00,,,O,
20070506175816-919377088.546753,MALL,4.00E+01,,,O,
20070506175816-919377088.546753,RBME,4.00E+00,,,O,
20070506175816-919377088.546753,RNDU,1.20E+01,,,O,
20070506163624-363182246.685028,BAEA,1.00E+00,,,O,
20070506163624-363182246.685028,HERG,1.00E+00,,,O,
20070506163624-363182246.685028,MAMU,2.50E+01,,,O,
20070506163624-363182246.685028,MEGU,1.00E+00,,,O,
20070506163624-363182246.685028,SUSC,3.68E+02,,,O,
20070506163624-423368513.584137,BAGO,4.00E+00,,,O,
20070506163624-423368513.584137,BOGU,1.00E+00,,,O,
20070506163624-423368513.584137,HARD,4.00E+00,,,O,
20070506163624-423368513.584137,HOGR,1.00E+00,,,O,
20070506163624-423368513.584137,MAMU,3.00E+00,,,O,
20070506163624-423368513.584137,WATA,2.00E+00,,,O,
20070506163624-606778442.85965,HARD,2.00E+00,,,O,
20070506163624-606778442.85965,HERG,2.00E+00,,,O,
20070506163624-606778442.85965,LTDU,5.00E+00,,,O,
20070506163624-606778442.85965,MAMU,3.10E+01,,,O,
20070506163624-606778442.85965,RBME,9.00E+00,,,O,
20070506163624-606778442.85965,RNGR,2.00E+00,,,O,
20070506163624-606778442.85965,SUSC,4.07E+02,,,O,
20070506163624-606778442.85965,WWSC,1.00E+00,,,O,
20070506163624-246076047.420502,BOGU,1.00E+00,,,O,
20070506163624-246076047.420502,BUFF,4.00E+00,,,O,
20070506163624-246076047.420502,COLO,1.00E+00,,,O,
20070506163624-246076047.420502,GRSC,3.30E+01,,,O,
20070506163624-246076047.420502,HERG,2.00E+00,,,O,
20070506163624-246076047.420502,HOGR,3.00E+00,,,O,
20070506163624-246076047.420502,LEYE,2.00E+00,,,O,
20070506163624-246076047.420502,MAMU,2.10E+01,,,O,
20070506163624-246076047.420502,RBME,1.30E+01,,,O,
20070506163624-246076047.420502,SUSC,1.70E+01,,,O,
20070506163624-365363895.893097,BAEA,6.00E+00,,,O,
20070506163624-365363895.893097,BASW,3.50E+01,,,O,
20070506163624-365363895.893097,BEKI,1.00E+00,,,O,
20070506163624-365363895.893097,GBHE,6.00E+00,,,O,
20070506163624-365363895.893097,GWGU,5.00E+00,,,O,
20070506163624-365363895.893097,HARD,2.00E+00,,,O,
20070506163624-365363895.893097,HOGR,1.00E+00,,,O,
20070506163624-365363895.893097,NOCR,3.00E+00,,,O,
20070506163624-365363895.893097,RBME,2.00E+00,,,O,
20070506163624-365363895.893097,RNGR,1.00E+00,,,O,
20070506163624-365363895.893097,SPSA,1.40E+01,,,O,
20070506163624-365363895.893097,SUSC,1.00E+01,,,O,
20070506175816-627642035.484314,AGWT,7.00E+00,,,O,
20070506175816-627642035.484314,AMWI,8.00E+00,,,O,
20070506175816-627642035.484314,BAEA,2.00E+00,,,O,
20070506175816-627642035.484314,BOGU,6.40E+01,,,O,
20070506175816-627642035.484314,BUFF,3.00E+00,,,O,
20070506175816-627642035.484314,COME,2.90E+01,,,O,
20070506175816-627642035.484314,GBHE,1.00E+00,,,O,
20070506175816-627642035.484314,GRSC,3.30E+01,,,O,
20070506175816-627642035.484314,GWGU,1.00E+00,,,O,
20070506175816-627642035.484314,HARD,8.00E+00,,,O,
20070506175816-627642035.484314,LEYE,1.00E+00,,,O,
20070506175816-627642035.484314,MALL,7.30E+01,,,O,
20070506175816-627642035.484314,MEGU,8.00E+00,,,O,
20070506175816-627642035.484314,NOCR,7.00E+00,,,O,
20070506175816-627642035.484314,NSHO,8.00E+00,,,O,
20070506175816-627642035.484314,RBME,1.80E+01,,,O,
20070506175816-627642035.484314,RNDU,3.00E+00,,,O,
20070506175816-627642035.484314,SEPL,1.00E+00,,,O,
20070506163624-719282090.66391,AGWT,2.00E+00,,,O,
20070506163624-719282090.66391,ARTE,9.00E+00,,,O,
20070506163624-719282090.66391,BAEA,9.00E+00,,,O,
20070506163624-719282090.66391,BEKI,1.00E+00,,,O,
20070506163624-719282090.66391,BOGU,5.00E+00,,,O,
20070506163624-719282090.66391,CORA,1.00E+00,,,O,
20070506163624-719282090.66391,GBHE,7.00E+00,,,O,
20070506163624-719282090.66391,HERG,2.00E+00,,,O,
20070506163624-719282090.66391,MALL,5.00E+00,,,O,
20070506163624-719282090.66391,MAMU,1.30E+01,,,O,
20070506163624-719282090.66391,MEGU,1.90E+01,,,O,
20070506163624-719282090.66391,NOCR,9.00E+00,,,O,
20070506163624-719282090.66391,RBME,4.00E+00,,,O,
20070506163624-719282090.66391,SPSA,1.00E+00,,,O,
20070506163624-719282090.66391,UNGU,1.70E+01,,,O,
20070506163624-365418732.16629,ARTE,1.00E+00,,,O,
20070506163624-365418732.16629,HARD,5.00E+00,,,O,
20070506163624-365418732.16629,MAMU,2.00E+00,,,O,
20070506163624-365418732.16629,SUSC,1.00E+02,,,O,
20070506163624-56265056.1332703,HARD,2.00E+00,,,O,
20070506163624-56265056.1332703,MAMU,1.60E+01,,,O,
20070506163624-56265056.1332703,WATA,3.00E+00,,,O,
20070506163624-312911450.862885,ARTE,1.00E+00,,,O,
20070506163624-312911450.862885,MAMU,2.40E+01,,,O,
20070506163624-312911450.862885,RBME,4.00E+00,,,O,
20070506163624-312911450.862885,RTLO,1.00E+00,,,O,
20070506163624-976013720.035553,ARTE,2.00E+00,,,O,
20070506163624-976013720.035553,BOGU,-1.00E+00,,,O,
20070506163624-976013720.035553,COLO,1.00E+00,,,O,
20070506163624-976013720.035553,COME,1.00E+00,,,O,
20070506163624-976013720.035553,GRSC,4.00E+00,,,O,
20070506163624-976013720.035553,MAMU,1.80E+01,,,O,
20070506163624-976013720.035553,RBME,8.00E+00,,,O,
20070506163624-976013720.035553,SUSC,2.00E+00,,,O,
20070506163624-976013720.035553,WATA,1.00E+00,,,O,
20070506175816-97973823.5473633,AGWT,2.00E+00,,,O,
20070506175816-97973823.5473633,BAEA,1.00E+00,,,O,
20070506175816-97973823.5473633,BUFF,1.00E+00,,,O,
20070506175816-97973823.5473633,COME,2.80E+01,,,O,
20070506175816-97973823.5473633,GRSC,2.00E+00,,,O,
20070506175816-97973823.5473633,HARD,3.00E+00,,,O,
20070506175816-97973823.5473633,RNDU,1.00E+00,,,O,
20070506175816-97973823.5473633,SPSA,1.00E+00,,,O,
20070506175816-97973823.5473633,WATA,1.00E+00,,,O,
20070506163624-239882767.20047,ARTE,1.00E+00,,,O,
20070506163624-3313601.01699829,MAMU,1.00E+00,,,O,
20070506163624-3313601.01699829,SUSC,3.00E+00,,,O,
20070506163624-656048476.696014,LTDU,1.00E+00,,,O,
20070506163624-656048476.696014,MALL,1.80E+01,,,O,
20070506163624-872563421.726227,BAEA,2.00E+00,,,O,
20070506163624-872563421.726227,COME,2.00E+00,,,O,
20070506163624-872563421.726227,GBHE,2.00E+00,,,O,
20070506163624-872563421.726227,HERG,3.00E+00,,,O,
20070506163624-872563421.726227,SPSA,1.00E+00,,,O,
20070506175816-694485306.739807,BAEA,1.00E+00,,,O,
20070506175816-694485306.739807,BOGU,1.09E+02,,,O,
20070506175816-694485306.739807,COME,8.00E+00,,,O,
20070506175816-694485306.739807,CORA,1.00E+00,,,O,
20070506175816-694485306.739807,SPSA,3.00E+00,,,O,
20070506163624-464253604.412079,BOGU,6.60E+01,,,O,
20070506163624-464253604.412079,GBHE,8.00E+00,,,O,
20070506163624-464253604.412079,GWGU,1.00E+00,,,O,
20070506163624-464253604.412079,MALL,6.00E+00,,,O,
20070506163624-464253604.412079,SPSA,2.00E+00,,,O,
20070506163624-156302034.854889,MAMU,1.00E+00,,,O,
20070506163624-780381619.930267,ARTE,4.00E+00,,,O,
20070506163624-733778655.529022,MAMU,5.00E+00,,,O,
20070506163624-271722614.765167,MAMU,2.00E+00,,,O,
20070506175816-834817171.096802,COME,1.00E+00,,,O,
20070506175816-834817171.096802,SPSA,1.00E+00,,,O,
20070506163624-769877493.3815,ARTE,1.00E+00,,,O,
20070506163624-769877493.3815,BEKI,1.00E+00,,,O,
20070506163624-769877493.3815,HERG,4.00E+00,,,O,
20070506163624-769877493.3815,MAMU,1.00E+00,,,O,
20070506163624-769877493.3815,NOCR,2.00E+00,,,O,
20070506163624-625053346.157074,ARTE,6.00E+00,,,O,
20070506163624-625053346.157074,BEKI,2.00E+00,,,O,
20070506163624-625053346.157074,HERG,1.00E+00,,,O,
20070506163624-625053346.157074,MAMU,1.10E+01,,,O,
20070506163624-625053346.157074,SUSC,6.00E+01,,,O,
20070506163624-629923999.30954,MAMU,2.00E+00,,,O,
20070506163624-629923999.30954,UNGU,6.00E+00,,,O,
20070506163624-278410971.164703,ARTE,1.00E+00,,,O,
20070506163624-278410971.164703,COME,2.00E+00,,,O,
20070506163624-278410971.164703,HARD,4.00E+00,,,O,
20070506163624-278410971.164703,HERG,1.00E+00,,,O,
20070506163624-278410971.164703,MAMU,6.00E+00,,,O,
20070506163624-278410971.164703,SUSC,2.00E+00,,,O,
20070506163624-274737060.070038,MAMU,1.00E+00,,,O,
20070506163624-459575474.262238,ARTE,2.00E+00,,,O,
20070506163624-459575474.262238,HERG,4.00E+00,,,O,
20070506163624-771041810.512543,ARTE,2.00E+00,,,O,
20070506163624-771041810.512543,BAEA,1.00E+00,,,O,
20070506163624-771041810.512543,BOGU,2.20E+01,,,O,
20070506163624-771041810.512543,GBHE,2.00E+00,,,O,
20070506163624-771041810.512543,HERG,1.00E+00,,,O,
20070506163624-771041810.512543,MEGU,5.00E+00,,,O,
20070506163624-771041810.512543,RTLO,6.00E+00,,,O,
20070506163624-198889076.709747,ARTE,1.00E+00,,,O,
20070506163624-198889076.709747,BAEA,2.00E+00,,,O,
20070506163624-198889076.709747,CORA,3.00E+00,,,O,
20070506163624-198889076.709747,GBHE,5.00E+00,,,O,
20070506163624-198889076.709747,LBDO,1.00E+00,,,O,
20070506163624-198889076.709747,LESA,1.00E+00,,,O,
20070506163624-198889076.709747,LEYE,2.00E+00,,,O,
20070506163624-198889076.709747,MAMU,2.00E+00,,,O,
20070506163624-198889076.709747,MEGU,2.00E+00,,,O,
20070506163624-198889076.709747,PESA,1.10E+01,,,O,
20070506163624-198889076.709747,SPSA,1.20E+01,,,O,
20070506163624-198889076.709747,SUSC,1.00E+00,,,O,
20070506175816-543360590.934753,COME,1.00E+00,,,O,
20070506163624-995422780.513763,ARTE,8.00E+00,,,O,
20070506163624-995422780.513763,BAEA,4.00E+00,,,O,
20070506163624-995422780.513763,BOGU,5.80E+01,,,O,
20070506163624-995422780.513763,CORA,5.00E+00,,,O,
20070506163624-995422780.513763,GBHE,1.00E+00,,,O,
20070506163624-995422780.513763,GWGU,1.00E+00,,,O,
20070506163624-995422780.513763,HERG,2.00E+00,,,O,
20070506163624-995422780.513763,MEGU,6.00E+00,,,O,
20070506163624-995422780.513763,NOCR,2.00E+00,,,O,
20070506163624-995422780.513763,RTLO,4.00E+00,,,O,
20070506163624-995422780.513763,SPSA,5.00E+00,,,O,
20070506163624-804763615.131378,MAMU,2.00E+00,,,O,
20070506163624-262924849.98703,ARTE,1.00E+00,,,O,
20070506163624-856248795.986176,MAMU,3.50E+01,,,O,
20070506163624-856248795.986176,MEGU,9.00E+00,,,O,
20070506163624-856248795.986176,RTLO,1.00E+00,,,O,
20070506163624-389182150.363922,ARTE,1.00E+00,,,O,
20070506163624-389182150.363922,BAEA,1.00E+00,,,O,
20070506163624-389182150.363922,HERG,2.00E+00,,,O,
20070506163624-389182150.363922,MAMU,2.00E+00,,,O,
20070506163624-389182150.363922,MEGU,1.00E+00,,,O,
20070506163624-389182150.363922,RTLO,2.00E+00,,,O,
20070506175816-430261135.101318,ARTE,1.00E+00,,,O,
20070506175816-430261135.101318,BAEA,1.00E+00,,,O,
20070506175816-430261135.101318,BOGU,3.10E+01,,,O,
20070506175816-430261135.101318,COME,1.00E+00,,,O,
20070506175816-430261135.101318,CORA,2.00E+00,,,O,
20070506175816-430261135.101318,MEGU,1.00E+00,,,O,
20070506175816-430261135.101318,SPSA,1.00E+00,,,O,
20070506163624-205353081.226349,BAEA,1.00E+00,,,O,
20070506163624-205353081.226349,BOGU,2.00E+00,,,O,
20070506163624-205353081.226349,COME,5.00E+00,,,O,
20070506163624-205353081.226349,UNGU,2.00E+00,,,O,
20070506163624-252004563.808441,MAMU,1.00E+00,,,O,
20070506163624-210172474.384308,BOGU,1.00E+00,,,O,
20070506163624-210172474.384308,MAMU,1.00E+00,,,O,
20070506163624-210172474.384308,SPSA,1.00E+00,,,O,
20070506163624-706826269.626617,COLO,1.00E+00,,,O,
20070506163624-706826269.626617,MAMU,2.00E+01,,,O,
20070506163624-706826269.626617,RTLO,1.00E+00,,,O,
20070506163624-570853412.151337,BOGU,1.00E+01,,,O,
20070506163624-570853412.151337,MAMU,2.00E+00,,,O,
20070506163624-327556192.874908,BAEA,6.00E+00,,,O,
20070506163624-327556192.874908,HERG,1.00E+00,,,O,
20070506163624-327556192.874908,MEGU,1.00E+00,,,O,
20070506163624-327556192.874908,SPSA,2.00E+00,,,O,
20070506175816-502453923.225403,BAEA,1.00E+00,,,O,
20070506175816-502453923.225403,BOGU,1.86E+02,,,O,
20070506175816-502453923.225403,COME,4.00E+00,,,O,
20070506175816-502453923.225403,LBDO,1.00E+00,,,O,
20070506175816-502453923.225403,MEGU,2.00E+00,,,O,
20070506175816-502453923.225403,SPSA,1.00E+00,,,O,
20070506163624-870190680.027008,MAMU,2.00E+00,,,O,
20070506163624-386681735.515594,MAMU,8.00E+00,,,O,
20070506163624-271568596.363068,COLO,1.00E+00,,,O,
20070506163624-271568596.363068,MEGU,2.00E+00,,,O,
20070506163624-286727607.250214,BAEA,1.00E+01,,,O,
20070506163624-286727607.250214,BOGU,1.04E+02,,,O,
20070506163624-286727607.250214,CORA,2.00E+00,,,O,
20070506163624-286727607.250214,GBHE,4.00E+00,,,O,
